responses_comment;questionaire_uuid;responses_time;wm_config;wm_testId;wm_date;responses_score;wm_id;wm_type;responses_stimulus
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;193367;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;70;lang_fam;languageFamiliarity;Lang_eng
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;193367;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;10;lang_fam;languageFamiliarity;Lang_jp
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;193367;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;80;lang_fam;languageFamiliarity;Lang_man
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;193367;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;lang_fam;languageFamiliarity;Lang_canto
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;4304;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;1;gender;gender;M
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;4304;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;0;gender;gender;F
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;4304;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;0;gender;gender;NB
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;4304;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;0;gender;gender;NA
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;13;english_test_1;mushra;C2_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;37;english_test_1;mushra;C2_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;english_test_1;mushra;C4_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;76;english_test_1;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;english_test_1;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;78;english_test_1;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;12;english_test_1;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;60;english_test_1;mushra;C1_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;english_test_1;mushra;reference_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;72;english_test_1;mushra;reference_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;10;english_test_1;mushra;C5_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;5309394;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;81;english_test_1;mushra;C5_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;english_test_2;mushra;C2_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;91;english_test_2;mushra;C2_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;25;english_test_2;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;80;english_test_2;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;english_test_2;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;80;english_test_2;mushra;C1_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;english_test_2;mushra;reference_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;88;english_test_2;mushra;reference_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;16;english_test_2;mushra;C4_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;1158100;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;73;english_test_2;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57942;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;100;japanese_test_1;mushra;C1_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57942;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;39;japanese_test_1;mushra;C1_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57942;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;9;japanese_test_1;mushra;C4_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57942;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;81;japanese_test_1;mushra;C4_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57942;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;20;japanese_test_1;mushra;C3_1
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57942;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;72;japanese_test_1;mushra;C3_2
;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;57942;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2025-04-30 13:28:45.610498;17;japanese_test_1;mushra;C2_1
