questionaire_uuid;wm_config;responses_comment;wm_id;wm_testId;responses_stimulus;responses_score;wm_type;wm_date;responses_time
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_eng;50;languageFamiliarity;2025-04-30 13:28:45.610498;193367
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_jp;20;languageFamiliarity;2025-04-30 13:28:45.610498;193367
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_man;50;languageFamiliarity;2025-04-30 13:28:45.610498;193367
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;lang_fam;mushra_noloop_nowav;Lang_canto;100;languageFamiliarity;2025-04-30 13:28:45.610498;193367
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;M;0;gender;2025-04-30 13:28:45.610498;4304
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;F;0;gender;2025-04-30 13:28:45.610498;4304
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;NB;0;gender;2025-04-30 13:28:45.610498;4304
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;gender;mushra_noloop_nowav;NA;0;gender;2025-04-30 13:28:45.610498;4304
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C2_1;13;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C2_2;37;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C4_1;100;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C4_2;76;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C3_1;100;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C3_2;78;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C1_1;12;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C1_2;60;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;reference_1;100;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;reference_2;72;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C5_1;10;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_1;mushra_noloop_nowav;C5_2;81;mushra;2025-04-30 13:28:45.610498;5309394
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C2_1;100;mushra;2025-04-30 13:28:45.610498;1158100
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;english_test_2;mushra_noloop_nowav;C2_2;91;mushra;2025-04-30 13:28:45.610498;1158100
