Var1;Var2;Var3;Var4;Var5;Var6;Var7;Var8;Var9;Var10
languageFamiliarity;mushra_noloop_nowav;lang_fam;Lang_eng;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;Unnamed: 6;dfb54437-2593-4e3e-94ec-9f69762736e7;100;26383
languageFamiliarity;mushra_noloop_nowav;lang_fam;Lang_jp;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;4;26383
languageFamiliarity;mushra_noloop_nowav;lang_fam;Lang_man;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;3;26383
languageFamiliarity;mushra_noloop_nowav;lang_fam;Lang_canto;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;2;26383
gender;mushra_noloop_nowav;demographics_gender;M;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;1;6269
gender;mushra_noloop_nowav;demographics_gender;F;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;0;6269
gender;mushra_noloop_nowav;demographics_gender;NB;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;0;6269
gender;mushra_noloop_nowav;demographics_gender;;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;0;6269
mushra;mushra_noloop_nowav;english_test_1;C1_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;71;138540
mushra;mushra_noloop_nowav;english_test_1;C1_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;85;138540
mushra;mushra_noloop_nowav;english_test_1;C5_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;87;138540
mushra;mushra_noloop_nowav;english_test_1;C5_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;73;138540
mushra;mushra_noloop_nowav;english_test_1;C4_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;71;138540
mushra;mushra_noloop_nowav;english_test_1;C4_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;61;138540
mushra;mushra_noloop_nowav;english_test_1;reference_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;60;138540
mushra;mushra_noloop_nowav;english_test_1;reference_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;85;138540
mushra;mushra_noloop_nowav;english_test_1;C2_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;54;138540
mushra;mushra_noloop_nowav;english_test_1;C2_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;57;138540
mushra;mushra_noloop_nowav;english_test_1;C3_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;59;138540
mushra;mushra_noloop_nowav;english_test_1;C3_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;75;138540
mushra;mushra_noloop_nowav;english_test_2;C1_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;56;106055
mushra;mushra_noloop_nowav;english_test_2;C1_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;88;106055
mushra;mushra_noloop_nowav;english_test_2;C2_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;32;106055
mushra;mushra_noloop_nowav;english_test_2;C2_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;47;106055
mushra;mushra_noloop_nowav;english_test_2;reference_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;66;106055
mushra;mushra_noloop_nowav;english_test_2;reference_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;86;106055
mushra;mushra_noloop_nowav;english_test_2;C3_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;31;106055
mushra;mushra_noloop_nowav;english_test_2;C3_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;47;106055
mushra;mushra_noloop_nowav;english_test_2;C4_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;82;106055
mushra;mushra_noloop_nowav;english_test_2;C4_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;75;106055
mushra;mushra_noloop_nowav;japanese_test_1;C3_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;15;77686
mushra;mushra_noloop_nowav;japanese_test_1;C3_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;41;77686
mushra;mushra_noloop_nowav;japanese_test_1;C4_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;56;77686
mushra;mushra_noloop_nowav;japanese_test_1;C4_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;60;77686
mushra;mushra_noloop_nowav;japanese_test_1;C2_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;74;77686
mushra;mushra_noloop_nowav;japanese_test_1;C2_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;76;77686
mushra;mushra_noloop_nowav;japanese_test_1;reference_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;76;77686
mushra;mushra_noloop_nowav;japanese_test_1;reference_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;69;77686
mushra;mushra_noloop_nowav;japanese_test_1;C1_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;45;77686
mushra;mushra_noloop_nowav;japanese_test_1;C1_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;53;77686
mushra;mushra_noloop_nowav;japanese_test_2;C1_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;54;89616
mushra;mushra_noloop_nowav;japanese_test_2;C1_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;68;89616
mushra;mushra_noloop_nowav;japanese_test_2;C3_1;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;33;89616
mushra;mushra_noloop_nowav;japanese_test_2;C3_2;configs/mushra_noloop_nowav.yaml;2025-04-28 08:56:20.481;;dfb54437-2593-4e3e-94ec-9f69762736e7;57;89616
